name,address,phone,website,rating,total_reviews,price_level,business_status,types,place_id,query_used,scraped_at,emails
Kohinoor Grill & Thrill,"386 Barking Rd, London E13 8HJ, UK",020 3876 2745,https://kohinoorgrillandthrill.co.uk/,4.7,568,,OPERATIONAL,,ChIJq-aqSlCn2EcRgUs9bF2wNHg,restaurants,2025-09-17T16:29:13.419259,info@kohinoorgrillandthrill.co.uk
Charminar Restaurant Green Street,"245 Plashet Rd, London E13 0QU, UK",020 3337 3406,https://www.charminargreenstreet.co.uk/,4.2,374,,OPERATIONAL,,ChIJQ2YfPwCn2EcRi0WqDXPPPbA,restaurants,2025-09-17T16:29:13.668659,info@www.charminargreenstreet.co.uk
Aroma Multi Cuisine Restaurant Eastham,"Unit 7 Market St, London E6 1HW, UK",07951 652748,,4.8,63,,OPERATIONAL,,ChIJFSPe0bmn2EcRS1Rzj_U7xfU,restaurants,2025-09-17T16:29:13.877999,
The Peacock Restaurant,"274 Barking Rd, London E6 3BA, UK",020 3609 5236,http://thepeacocklondon.com/,4.7,121,,OPERATIONAL,,ChIJMzjxWQCn2EcRtyZD6l3GeUw,restaurants,2025-09-17T16:29:14.155743,info@thepeacocklondon.com
Caloroso Pizza & Bar (Plaistow),"6 Terrace Rd, London E13 0PB, UK",020 8471 9489,https://www.caloroso.co.uk/restaurant-in-plaistow,4.7,499,,OPERATIONAL,,ChIJExp4iOGn2EcRLlzwHVvpLuk,restaurants,2025-09-17T16:29:14.360035,info@www.caloroso.co.uk
Udaya Kerala Restaurant,"105 Katherine Rd, London E6 1ES, UK",020 8470 7400,http://www.udayarestaurant.com/,4.7,8869,2.0,OPERATIONAL,,ChIJ46LYoMqn2EcRg5SCWN1j1_E,restaurants,2025-09-17T16:29:14.593970,"contact@udayarestaurant.comwebsite, contact@udayarestaurant.com, udayarestaurantlondon@gmail.com, 7400contact@udayarestaurant.com"
Charcoal,"279 Prince Regent Ln, London E13 8SD, UK",020 7055 3888,https://www.charcoalrestaurant.co.uk/,4.2,436,,OPERATIONAL,,ChIJbxmKqdmn2EcRYcV_ux9rhw4,restaurants,2025-09-17T16:29:14.822235,info@www.charcoalrestaurant.co.uk
Hawksmoor Wood Wharf,"1 Water St, London E14 5GX, UK",020 3988 0510,https://thehawksmoor.com/locations/wood-wharf/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.5,1597,3.0,OPERATIONAL,,ChIJT0SXYw8DdkgRUUYIYtblTlg,restaurants,2025-09-17T16:29:15.117602,"bookatable@thehawksmoor.com, woodwharf@thehawksmoor.com"
Charminar Restaurant,"88 Katherine Rd, London E6 1EN, UK",020 8472 8888,https://www.charminarrestaurant.co.uk/index.php,4.4,2002,2.0,OPERATIONAL,,ChIJWYizSzen2EcRgHNnT6KFWZ0,restaurants,2025-09-17T16:29:15.313530,info@www.charminarrestaurant.co.uk
Fireaway Upton Park,"391 Green St, London E13 9AU, UK",020 3410 8865,http://fireaway.co.uk/,4.6,458,,OPERATIONAL,,ChIJwYI1-1un2EcRyK0QYM2mFOg,restaurants,2025-09-17T16:29:15.518849,info@fireaway.co.uk
Cafe Doro,"316 Barking Rd, London E6 3BA, UK",020 3793 3979,,4.9,77,,OPERATIONAL,,ChIJIYWmHl6n2EcRYQTzxO9ZgFk,coffee shops,2025-09-17T16:29:15.768681,
COFFEE PALACE,"1 Prince Regent Ln, London E13 8RH, UK",07438 925784,,4.7,41,,OPERATIONAL,,ChIJt5wOqCWn2EcRNLw6617tFns,coffee shops,2025-09-17T16:29:15.954431,
"yapix 🇮🇹 Coffee & Wine House. All-day Dining, Brunch, Aperitivo, Cocktails.","15 Minnie Baldock St, London E16 1YE, UK",07425 580928,https://www.yapix.co/,4.8,352,,OPERATIONAL,,ChIJCT4SG3yp2EcRIjser9vRbH4,coffee shops,2025-09-17T16:29:16.166991,"hello@yapix.co, continents.
 










@yapix.house"
Times Coffee Stratford,"7 Station St, London E15 1DA, UK",,https://www.timescoffee.co.uk/,4.9,16,,OPERATIONAL,,ChIJI9GT_X4ddkgRTs2YjpOroNE,coffee shops,2025-09-17T16:29:16.360679,info@www.timescoffee.co.uk
Raw Coffee,"2 Central Park Rd, London E6 3DY, UK",,,4.6,27,,OPERATIONAL,,ChIJbf6tdv6n2EcROHLrKUA2Tig,coffee shops,2025-09-17T16:29:16.562141,
Mattcup Roastery,"263 Plaistow Rd, London E13 0DY, UK",,https://www.mattcuproastery.co.uk/,4.6,110,,OPERATIONAL,,ChIJ5QyfWWyn2EcRnaPsUr2eSLw,coffee shops,2025-09-17T16:29:16.776029,hello@mattcuproastery.co.uk
Anteiku Coffee Shop,"2, The Triangle, Tanner St, Barking IG11 8QA, UK",07436 532240,https://anteiku.co.uk/,4.9,115,,OPERATIONAL,,ChIJZcYZPBCn2EcRqVV1T0t5Aik,coffee shops,2025-09-17T16:29:16.994804,mike@anteiku.co.uk
Hermanos Colombian Coffee Roasters – The Gantry (Stratford),"40 Celebration Ave, East Village, London E20 1DB, UK",,http://www.hermanoscoffeeroasters.com/,4.5,130,,OPERATIONAL,,ChIJl9YQ_BsddkgRixUE4g55DD0,coffee shops,2025-09-17T16:29:17.213626,info@www.hermanoscoffeeroasters.com
Mackbear Coffee East Ham,"Old Fire Station, 1 High St S, London E6 6EN, UK",,https://linktr.ee/MackBearCoffee_UK,4.4,93,,OPERATIONAL,,ChIJp7jWmxyn2EcRhd9FxxfvIfw,coffee shops,2025-09-17T16:29:17.443954,info@linktr.ee
Ethical Bean Company Coffee Shop,"41 Dace Rd, Fish Island, London E3 2NG, UK",07379 699318,https://www.ethicalbeancompany.com/,4.9,3251,,OPERATIONAL,,ChIJrSJEN50ddkgRwSdePpr8j24,coffee shops,2025-09-17T16:29:17.638971,hello@ethicalbeancompany.com
Plaistow Pizza & Chicken,"8 High St, London E13 0AJ, UK",07557 550367,,4.1,117,2.0,OPERATIONAL,,ChIJkcBS2Oun2EcR2ZImsdpiTik,food delivery,2025-09-17T16:29:17.891654,
Grillin Xpress,"472 Green St, London E13 9DB, UK",020 3336 9222,https://www.grillinxpress.uk/uptonpark/,3.7,231,,OPERATIONAL,,ChIJMzob3B-n2EcRW-lTjTPS3Es,food delivery,2025-09-17T16:29:18.073082,info@www.grillinxpress.uk
Top Favourite,"12 Barking Rd, London E6 3BP, UK",020 8471 1667,https://ukmapsgo.org/business/top-favourite-vn1Dp7E,4.0,234,,OPERATIONAL,,ChIJLaMQ0c6n2EcRSNFcvn1Dp7E,food delivery,2025-09-17T16:29:18.376789,info@ukmapsgo.org
The Pizza Box - Official,"283 Barking Rd, London E13 8EQ, UK",020 3669 5622,https://thepizzabox.co.uk/,4.9,206,,OPERATIONAL,,ChIJkd33EVWn2EcRqx1mh9Zh4wY,food delivery,2025-09-17T16:29:18.556816,info@thepizzabox.co.uk
Caloroso Pizza & Bar (Plaistow),"6 Terrace Rd, London E13 0PB, UK",020 8471 9489,https://www.caloroso.co.uk/restaurant-in-plaistow,4.7,499,,OPERATIONAL,,ChIJExp4iOGn2EcRLlzwHVvpLuk,food delivery,2025-09-17T16:29:18.781327,info@www.caloroso.co.uk
Dixy Chicken,"135b High St, London E13 9HH, UK",07909 199828,,4.0,51,1.0,OPERATIONAL,,ChIJ_40Vhhen2EcRqgc5qd0GOrY,food delivery,2025-09-17T16:29:18.967958,
Spice,"48 Prince Regent Ln, London E13 8QQ, UK",020 7474 2121,,3.9,145,1.0,OPERATIONAL,,ChIJbRIrbtun2EcRaKQ7ygef3t8,food delivery,2025-09-17T16:29:19.166081,
Peri Peri Chicken & Pizza,"132 Barking Rd, London E6 3BD, UK",020 8470 4499,https://www.periperichickene6.co.uk/,4.3,319,,OPERATIONAL,,ChIJo7PSZMun2EcRz8VGfffxUOE,food delivery,2025-09-17T16:29:19.389762,info@www.periperichickene6.co.uk
Pizza On Demand - Plaistow,"8 Prince Regent Ln, London E13 8QG, UK",020 8470 7060,https://www.pizzaondemand.co.uk/plaistow/?mtm_campaign=Business%20Profiles&mtm_kwd=Google%20Business,3.3,110,1.0,OPERATIONAL,,ChIJTef5VNun2EcRKiRLUB8ENC0,food delivery,2025-09-17T16:29:19.589182,info@www.pizzaondemand.co.uk
Pizzano Pizza,"15A Balaam St, London E13 8EB, UK",020 7474 9220,https://pizzanopizzae13.com/,3.7,180,1.0,OPERATIONAL,,ChIJudAKDJGn2EcRF1KyH3-SY44,food delivery,2025-09-17T16:29:19.836420,info@pizzanopizzae13.com
The Milk Tree,"34 Barking Rd, London E16 1EQ, UK",,https://themilktreelondon.com/,4.5,612,2.0,OPERATIONAL,,ChIJq_bkEwyn2EcRUMSTOuiTh_s,cafes,2025-09-17T16:29:20.560107,info@themilktreelondon.com
COFFEE PALACE,"1 Prince Regent Ln, London E13 8RH, UK",07438 925784,,4.7,41,,OPERATIONAL,,ChIJt5wOqCWn2EcRNLw6617tFns,cafes,2025-09-17T16:29:20.728425,
Bloom Cafe x Pie Republic,"80 Upton Ln, London E7 9LW, UK",020 8050 6723,https://bloomcafes.co.uk/,4.6,273,2.0,OPERATIONAL,,ChIJU_Gnn4mn2EcRwqLOSaNXciU,cafes,2025-09-17T16:29:20.957664,info@bloomcafes.co.uk
